id_parain	id_dim_personne 
2331967534	7167751575
NULL	7167807625
NULL	7173385938
NULL	7183362884
NULL	7183370804
NULL	7188459867
NULL	7189177285
4406131308	7197481661
NULL	7197630039
5407581699	7218077015
6952380476	7219101044
NULL	7219173391
NULL	7219244175
3329834800	7219298709
NULL	7219303224
NULL	7219333192
NULL	7223324990
NULL	7224362852
2019790967	7224365215
1845565610	7224999935
3379976317	7225000718
2795483828	7225002156
NULL	7225010536
NULL	7225017580
NULL	7225019795
NULL	7225020362
NULL	7225025994
NULL	7225027838
NULL	7225030534
6045115167	7225031291
330733860	7225040349
NULL	7225046361
NULL	7225046838
NULL	7225057177
NULL	7225058805
6772458684	7225061180
7104566203	7225062343
NULL	7225083483
NULL	7225095907
NULL	7225113700
NULL	7225123804
2391493546	7225126062
3973854902	7225170009
3327279119	7225190111
NULL	7225207501
508929472	7225211516
6249358207	7225233393
5771012695	7225235704
NULL	7225253980
2389640730	7225264808
5712210687	7225276494
NULL	7225286532
3796744643	7225288015
NULL	7225298216
6778137834	7225302470
NULL	7225314936
2786493103	7225331519
7087538119	7225338906
6840754539	7225344862
3954465125	7225361931
NULL	7225367080
NULL	7225376876
NULL	7225395927
NULL	7225396296
5739924307	7225404049
NULL	7225430215
NULL	7225496183
5843081666	7225500833
4642805668	7225515498
NULL	7225539283
NULL	7225646161
NULL	7225654456
4855860492	7225774553
NULL	7226342561
5717932778	7232418459
6055756990	7232458086
4078168033	7232469773
NULL	7232470895
2148798153	7232484273
3134749168	7232484469
NULL	7232490208
2479403513	7232494656
NULL	7232495577
NULL	7232495600
NULL	7232505680
5671311184	7232506754
7149106263	7232513529
NULL	7232514044
6821294197	7232514085
NULL	7232520644
NULL	7232522289
NULL	7232530080
5209810641	7232530296
NULL	7232532035
NULL	7232532506
7137168140	7232532672
NULL	7232534386
NULL	7232535253
3080107847	7232549989
NULL	7232558772
NULL	7232559267
5740217544	7232560725
NULL	7232562278
NULL	7232563558
NULL	7232570235
NULL	7232578518
NULL	7232580612
NULL	7232585744
NULL	7232589259
4061327032	7232599433
1794148042	7232607740
6162400946	7232613472
6998641154	7232624880
NULL	7232626348
4526007710	7232630720
6778652772	7232650118
7007801379	7232659158
3403179929	7232659331
NULL	7232676543
6035531018	7232678588
NULL	7232679391
5717804847	7232680172
5459572509	7232683486
NULL	7232685097
NULL	7232685387
NULL	7232694271
7081274744	7232696073
3123967005	7232701803
6078723117	7232706647
NULL	7232714640
3725301861	7232717538
NULL	7232718241
7093225694	7232724831
2258752631	7232727582
NULL	7232728631
NULL	7232730524
2320541784	7232730723
