,campagne,code_postal,code_postal_naissance,csp,debit_cb,flag_banque_principale,flag_epargne,nature_cb,patrimoine,regime_matrimonial,revenus_annuels,encours,cible,AGE,Parrain,domain,Sex,country_connexion,pays_de_naissance
13324,300.0,75017.0,92150.0,10.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,290.0,0,35.0,0,3.0,1,1.0,1.0
13325,868.0,75017.0,92150.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,506.01,0,29.0,1,2.0,0,1.0,1.0
13330,868.0,67200.0,67000.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,435.61,0,28.0,1,3.0,1,8.0,1.0
13334,456.0,76600.0,15000.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2019.53,1,35.0,0,0.0,0,1.0,1.0
13339,456.0,6200.0,42300.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,508.02,0,24.0,0,8.0,1,1.0,1.0
13342,868.0,75005.0,85400.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,380.0,0,30.0,1,3.0,-1,1.0,1.0
13344,868.0,74600.0,73100.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,20.0,0,34.0,0,8.0,1,5.0,1.0
13346,868.0,91560.0,99.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,380.0,0,33.0,1,10.0,1,1.0,3.0
13349,868.0,94470.0,94700.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,80.0,0,34.0,1,3.0,1,1.0,1.0
13350,300.0,65000.0,65000.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,350.0,0,53.0,0,15.0,1,1.0,1.0
13352,307.0,67100.0,99.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,380.0,0,36.0,0,0.0,1,1.0,3.0
13357,868.0,44000.0,49000.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4612.5,1,26.0,1,1.0,0,1.0,1.0
13358,868.0,13001.0,99.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0,26.0,1,3.0,-1,1.0,4.0
13360,300.0,78200.0,78200.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3224.28,1,30.0,0,1.0,1,1.0,1.0
13361,868.0,49000.0,49000.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,430.0,0,60.0,1,4.0,0,1.0,1.0
13363,868.0,38000.0,73700.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,413.43,0,32.0,1,1.0,-1,1.0,1.0
13365,868.0,59810.0,59000.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,20.0,1,3.0,0,1.0,1.0
13366,868.0,91170.0,94400.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0,27.0,1,13.0,0,1.0,1.0
13368,1294.0,33360.0,13100.0,16.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,3452.15,1,39.0,0,1.0,0,1.0,1.0
13373,1543.0,31000.0,97232.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,380.0,0,28.0,0,3.0,1,1.0,1.0
13374,1543.0,95220.0,92200.0,4.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,182.63,0,33.0,0,3.0,0,1.0,1.0
13375,300.0,97170.0,97110.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,2130.33,1,27.0,0,3.0,0,1.0,1.0
13376,307.0,77610.0,59530.0,10.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,580.0,0,56.0,0,3.0,1,1.0,1.0
13377,868.0,93200.0,31000.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1009.79,0,29.0,1,2.0,1,1.0,1.0
13378,456.0,91340.0,35000.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1873.24,1,36.0,0,0.0,0,1.0,1.0
13383,868.0,75017.0,99.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,4480.0,1,33.0,1,3.0,0,7.0,9.0
13387,868.0,59777.0,99.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9560.0,1,23.0,1,2.0,0,1.0,17.0
13390,456.0,94220.0,78410.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,14.47,0,28.0,0,3.0,1,1.0,1.0
13394,868.0,77260.0,93100.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,10.0,0,34.0,0,0.0,0,1.0,1.0
13397,307.0,60200.0,60200.0,11.0,0.0,1.0,1.0,1.0,5.0,2.0,2.0,1076.02,0,40.0,0,3.0,1,1.0,1.0
13400,1482.0,75012.0,27200.0,11.0,0.0,1.0,1.0,1.0,0.0,6.0,2.0,-293.3,0,32.0,0,3.0,0,1.0,1.0
13401,307.0,44300.0,44000.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,580.0,0,49.0,0,8.0,1,-2.0,1.0
13404,868.0,75017.0,91160.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1027.66,0,39.0,1,6.0,1,8.0,1.0
13405,300.0,77190.0,78800.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,360.0,0,46.0,0,0.0,1,1.0,1.0
13406,868.0,75018.0,6000.0,13.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3242.28,1,31.0,1,3.0,1,1.0,1.0
13410,456.0,33800.0,33130.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,297.5,0,64.0,0,3.0,1,1.0,1.0
13411,868.0,6800.0,63300.0,2.0,0.0,1.0,1.0,1.0,1.0,6.0,2.0,3060.64,1,35.0,1,3.0,1,1.0,1.0
