,campagne,code_postal,code_postal_naissance,csp,debit_cb,flag_banque_principale,flag_epargne,nature_cb,patrimoine,regime_matrimonial,revenus_annuels,encours,cible,AGE,Parrain,domain,Sex,country_connexion,pays_de_naissance
1,456.0,31130.0,38000.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,0.0,0,47.0,0,0.0,1,1.0,1.0
3,300.0,94800.0,93420.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,10.0,0,28.0,0,1.0,0,1.0,1.0
5,307.0,73150.0,92290.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,10.0,0,54.0,0,2.0,1,1.0,1.0
7,868.0,69001.0,69008.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3442.0,1,27.0,1,3.0,0,1.0,1.0
8,868.0,75015.0,42000.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,380.0,0,28.0,1,3.0,0,1.0,1.0
17,1849.0,72550.0,72000.0,4.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,705.02,0,29.0,0,3.0,-1,1.0,1.0
22,868.0,44130.0,64000.0,15.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2919.96,1,32.0,0,3.0,1,1.0,1.0
26,868.0,95210.0,95100.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0,29.0,1,3.0,1,1.0,1.0
38,868.0,35510.0,62000.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,20.0,0,47.0,0,4.0,0,1.0,1.0
43,868.0,92190.0,92290.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,510.0,0,31.0,1,0.0,0,1.0,1.0
45,456.0,73200.0,73000.0,16.0,1.0,0.0,0.0,0.0,1.0,6.0,2.0,10.0,0,31.0,0,1.0,1,1.0,1.0
54,868.0,92600.0,69150.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,320.0,0,28.0,1,5.0,1,1.0,1.0
58,307.0,91450.0,50100.0,13.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,1455.27,1,45.0,0,3.0,0,1.0,1.0
60,300.0,75010.0,92500.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,497.77,0,27.0,0,3.0,1,1.0,1.0
64,868.0,75007.0,34080.0,13.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,8.8,0,27.0,1,3.0,0,1.0,1.0
68,456.0,35235.0,83300.0,6.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,202.54,0,66.0,0,2.0,0,1.0,1.0
71,868.0,28300.0,28400.0,13.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,378.02,0,54.0,1,3.0,0,1.0,1.0
72,921.0,38300.0,69004.0,16.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,551.12,0,31.0,0,3.0,1,1.0,1.0
75,307.0,92500.0,28000.0,2.0,0.0,1.0,1.0,1.0,1.0,6.0,2.0,10938.96,1,36.0,0,6.0,1,1.0,1.0
76,868.0,6000.0,99.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,215.0,0,31.0,1,3.0,-1,1.0,2.0
81,307.0,34070.0,6400.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2000.0,1,47.0,0,0.0,1,1.0,1.0
83,868.0,6800.0,16340.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2322.33,1,25.0,1,4.0,0,1.0,1.0
94,1543.0,17220.0,92700.0,4.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,379.01,0,41.0,0,1.0,0,-2.0,1.0
95,868.0,36000.0,99.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36,0,22.0,1,3.0,-1,1.0,4.0
96,928.0,72330.0,72000.0,15.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,152.87,0,26.0,0,3.0,1,1.0,1.0
97,868.0,78480.0,78410.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0,21.0,1,1.0,-1,1.0,1.0
107,868.0,64110.0,65300.0,15.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,-83.6,0,56.0,1,3.0,1,1.0,1.0
111,868.0,75010.0,59650.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,750.0,0,24.0,1,3.0,1,1.0,1.0
112,868.0,97414.0,26100.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4465.84,1,25.0,1,3.0,0,1.0,1.0
118,1543.0,89690.0,94240.0,16.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,600.0,0,43.0,0,3.0,1,1.0,1.0
120,300.0,34090.0,34000.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,5466.4,1,25.0,0,3.0,1,1.0,1.0
121,868.0,34070.0,11000.0,16.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1399.58,1,46.0,1,7.0,1,1.0,1.0
127,868.0,50110.0,37000.0,16.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,313.15,0,51.0,1,6.0,0,1.0,1.0
129,868.0,6130.0,6130.0,15.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,380.0,0,41.0,1,3.0,0,1.0,1.0
130,307.0,77000.0,99.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,983.59,0,50.0,0,8.0,0,1.0,2.0
131,868.0,95670.0,95500.0,12.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,580.0,0,18.0,1,3.0,1,1.0,1.0
136,868.0,95300.0,99.0,12.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,-348.5,0,23.0,1,0.0,1,1.0,5.0
138,868.0,75008.0,17200.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,657.01,0,23.0,1,1.0,0,1.0,1.0
139,1543.0,75012.0,47300.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,301.11,0,28.0,0,2.0,1,1.0,1.0
140,868.0,92310.0,20000.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,0,29.0,1,8.0,-1,1.0,1.0
141,307.0,84290.0,84600.0,6.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,334.07,0,62.0,0,3.0,1,1.0,1.0
142,868.0,44230.0,89530.0,16.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,755.17,0,59.0,1,2.0,1,1.0,1.0
144,868.0,94420.0,93200.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,64.83,0,44.0,1,2.0,0,1.0,1.0
148,868.0,93400.0,75018.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,20.0,0,23.0,1,3.0,1,1.0,1.0
151,868.0,31300.0,64000.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,5050.0,1,25.0,1,3.0,0,1.0,1.0
153,868.0,75015.0,78300.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,16.8,0,28.0,1,8.0,0,1.0,1.0
154,868.0,44100.0,94500.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,280.0,0,27.0,1,1.0,1,1.0,1.0
155,1543.0,92400.0,93100.0,13.0,0.0,0.0,0.0,1.0,3.0,6.0,2.0,2369.07,1,35.0,0,0.0,1,1.0,1.0
156,868.0,75018.0,99.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,238.2,0,27.0,1,2.0,-1,1.0,3.0
157,868.0,75018.0,99.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,700.0,0,26.0,1,3.0,0,1.0,6.0
160,300.0,69400.0,69220.0,6.0,5.0,0.0,1.0,0.0,3.0,2.0,0.0,380.0,0,70.0,0,3.0,1,1.0,1.0
161,456.0,95130.0,93800.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,244.34,0,46.0,0,7.0,0,1.0,1.0
166,1482.0,31700.0,99.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,6102.28,1,55.0,0,3.0,0,1.0,7.0
167,456.0,34000.0,5000.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2818.55,1,31.0,0,3.0,1,1.0,1.0
169,300.0,78480.0,92290.0,2.0,0.0,0.0,0.0,1.0,2.0,5.0,2.0,630.0,0,47.0,0,4.0,1,1.0,1.0
174,868.0,37270.0,36300.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,734.84,0,48.0,1,3.0,1,1.0,1.0
177,868.0,13090.0,67300.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3598.54,1,31.0,1,3.0,1,1.0,1.0
181,456.0,17100.0,85600.0,2.0,0.0,1.0,1.0,1.0,0.0,4.0,2.0,115.36,0,25.0,0,7.0,1,1.0,1.0
184,868.0,80080.0,59760.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,300.0,0,31.0,1,6.0,1,-2.0,1.0
189,1543.0,31500.0,10000.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,391.01,0,35.0,0,3.0,0,1.0,1.0
190,307.0,92110.0,57220.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,380.0,0,37.0,0,2.0,1,1.0,1.0
193,300.0,83190.0,83190.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1021.82,0,29.0,0,3.0,1,-2.0,1.0
196,1633.0,24750.0,59100.0,6.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1426.02,1,64.0,0,9.0,1,1.0,1.0
197,300.0,20129.0,99.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,56.0,0,52.0,0,10.0,-1,1.0,8.0
198,868.0,92260.0,75013.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0,25.0,1,1.0,1,1.0,1.0
202,300.0,64100.0,64100.0,2.0,0.0,1.0,1.0,1.0,0.0,4.0,2.0,300.0,0,31.0,0,3.0,1,1.0,1.0
205,456.0,75003.0,66000.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,5610.39,1,39.0,0,2.0,1,1.0,1.0
207,868.0,17000.0,44000.0,4.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,779.66,0,36.0,1,3.0,1,1.0,1.0
209,456.0,36330.0,13009.0,13.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,370.0,0,43.0,1,3.0,0,1.0,1.0
211,868.0,97435.0,97450.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0,24.0,0,3.0,0,1.0,1.0
213,300.0,60480.0,3000.0,2.0,0.0,1.0,0.0,1.0,2.0,6.0,2.0,320.0,0,44.0,1,2.0,-1,1.0,1.0
215,868.0,69610.0,69009.0,16.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,380.0,0,45.0,1,0.0,0,1.0,1.0
217,307.0,37360.0,37000.0,16.0,0.0,1.0,1.0,1.0,2.0,6.0,2.0,3722.75,1,54.0,0,1.0,0,1.0,1.0
227,868.0,69570.0,69600.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3787.4,1,37.0,1,3.0,1,1.0,1.0
228,868.0,77780.0,34000.0,13.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,351.06,0,55.0,1,3.0,0,1.0,1.0
232,300.0,69003.0,42000.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,970.89,0,25.0,0,3.0,0,1.0,1.0
233,868.0,75002.0,33300.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,306.5,0,30.0,1,11.0,1,1.0,1.0
234,307.0,44470.0,44000.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,560.0,0,49.0,0,4.0,1,1.0,1.0
235,868.0,77177.0,94500.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0,27.0,1,2.0,1,1.0,1.0
240,868.0,41330.0,37000.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,0,29.0,1,10.0,1,1.0,1.0
242,300.0,75016.0,91300.0,12.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,6385.8,1,24.0,0,3.0,1,2.0,1.0
254,307.0,69003.0,84100.0,10.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,-588.64,0,30.0,0,8.0,1,1.0,1.0
261,868.0,40230.0,65100.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,0,55.0,1,4.0,0,1.0,1.0
263,300.0,95160.0,99.0,12.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,10.0,0,26.0,0,1.0,0,1.0,4.0
266,307.0,8500.0,8000.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,380.0,0,67.0,0,4.0,0,1.0,1.0
270,868.0,13800.0,66000.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1140.17,0,28.0,1,3.0,0,1.0,1.0
275,868.0,68510.0,68300.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,-457.94,0,25.0,1,1.0,0,1.0,1.0
277,868.0,12200.0,12200.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,397.35,0,65.0,1,3.0,0,1.0,1.0
278,304.0,69100.0,84600.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,299.01,0,25.0,0,3.0,0,1.0,1.0
280,456.0,93290.0,92300.0,16.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,4116.21,1,30.0,0,10.0,1,1.0,1.0
281,868.0,34140.0,34230.0,6.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,2695.26,1,84.0,1,7.0,0,1.0,1.0
283,868.0,78520.0,78200.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,16.05,0,34.0,1,2.0,0,1.0,1.0
285,456.0,89250.0,21000.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,310.24,0,26.0,0,3.0,1,1.0,1.0
286,868.0,40500.0,42800.0,16.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,430.0,0,27.0,1,3.0,1,1.0,1.0
289,1543.0,94100.0,75018.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,76.88,0,42.0,0,3.0,1,1.0,1.0
292,868.0,75003.0,92260.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1359.01,1,26.0,1,8.0,0,1.0,1.0
293,456.0,75005.0,42000.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,0,26.0,0,3.0,0,1.0,1.0
294,868.0,60730.0,78150.0,15.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,398.05,0,40.0,1,0.0,1,1.0,1.0
295,300.0,44700.0,99.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30.0,0,3.0,-1,1.0,3.0
298,307.0,80100.0,92340.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,380.0,0,30.0,0,12.0,1,1.0,1.0
301,300.0,75015.0,94160.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,400.0,0,45.0,0,10.0,0,1.0,1.0
305,868.0,93230.0,95200.0,12.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,420.99,0,24.0,1,3.0,1,1.0,1.0
308,304.0,65230.0,99.0,10.0,2.0,0.0,1.0,0.0,1.0,6.0,1.0,2879.01,1,66.0,0,3.0,1,1.0,8.0
309,456.0,81400.0,81000.0,3.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,13032.22,1,46.0,0,6.0,1,3.0,1.0
310,307.0,30290.0,67500.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4881.25,1,30.0,0,7.0,0,1.0,1.0
312,456.0,91400.0,21000.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,92.6,0,26.0,0,3.0,1,1.0,1.0
315,868.0,94700.0,94300.0,16.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,300.0,0,23.0,1,3.0,-1,1.0,1.0
321,300.0,13002.0,92290.0,3.0,2.0,0.0,0.0,0.0,1.0,6.0,1.0,500.0,0,25.0,0,0.0,1,1.0,1.0
324,868.0,92150.0,57000.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,455.0,0,37.0,1,3.0,1,1.0,1.0
326,1482.0,14840.0,99.0,6.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,17807.13,1,64.0,0,2.0,1,1.0,9.0
332,456.0,97436.0,59000.0,13.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,368.01,0,48.0,0,13.0,1,1.0,1.0
344,868.0,64230.0,71000.0,2.0,0.0,0.0,0.0,1.0,5.0,2.0,3.0,3207.33,1,62.0,1,13.0,1,1.0,1.0
352,868.0,75011.0,94000.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,380.0,0,31.0,1,3.0,0,1.0,1.0
353,304.0,6140.0,73000.0,15.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2521.39,1,19.0,0,1.0,0,1.0,1.0
356,300.0,13330.0,13140.0,4.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0,340.0,0,33.0,0,14.0,-1,1.0,1.0
357,868.0,92240.0,99.0,18.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,0,33.0,1,3.0,0,1.0,10.0
361,868.0,57600.0,57650.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,830.0,0,74.0,1,3.0,1,1.0,1.0
362,868.0,92120.0,75013.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,5000.0,1,46.0,1,3.0,1,1.0,1.0
363,1482.0,94190.0,99.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,2090.66,1,54.0,0,8.0,1,1.0,4.0
364,868.0,75011.0,49600.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,300.0,0,33.0,1,2.0,0,1.0,1.0
366,307.0,44120.0,75012.0,13.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1060.0,0,52.0,0,3.0,-1,1.0,1.0
370,300.0,64110.0,80000.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,2711.55,1,28.0,0,3.0,1,1.0,1.0
372,307.0,74950.0,42000.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,500.0,0,69.0,0,3.0,0,1.0,1.0
377,300.0,33700.0,33600.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,179.01,0,39.0,0,1.0,1,1.0,1.0
388,1543.0,73390.0,73000.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,6493.31,1,34.0,0,1.0,0,1.0,1.0
394,868.0,91270.0,99.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,300.0,0,24.0,1,3.0,1,1.0,10.0
398,456.0,29000.0,56300.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,300.0,0,23.0,0,3.0,1,1.0,1.0
399,307.0,69007.0,99.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1178.04,0,28.0,0,8.0,0,1.0,3.0
401,868.0,70100.0,39700.0,6.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,570.0,0,60.0,1,3.0,1,1.0,1.0
402,456.0,75018.0,87280.0,13.0,0.0,1.0,0.0,1.0,2.0,2.0,4.0,404.2,0,48.0,0,15.0,1,1.0,1.0
405,456.0,93100.0,82000.0,16.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1655.65,1,29.0,0,3.0,1,1.0,1.0
411,868.0,58000.0,21200.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,78.79,0,31.0,1,3.0,-1,4.0,1.0
413,1176.0,46220.0,75017.0,16.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,114.0,0,55.0,0,4.0,1,1.0,1.0
415,304.0,6400.0,6200.0,2.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,2796.02,1,46.0,0,1.0,0,1.0,1.0
416,868.0,76600.0,99.0,12.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,160.0,0,23.0,1,3.0,1,1.0,4.0
418,307.0,64110.0,36100.0,6.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1766.51,1,62.0,0,4.0,0,1.0,1.0
426,868.0,77420.0,94130.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,490.0,0,26.0,1,4.0,0,1.0,1.0
431,868.0,54230.0,37400.0,13.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,380.0,0,36.0,1,3.0,1,1.0,1.0
436,868.0,80080.0,99.0,9.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,380.0,0,62.0,1,1.0,1,1.0,4.0
439,300.0,60150.0,60200.0,18.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,375.0,0,29.0,0,3.0,-1,1.0,1.0
444,307.0,64410.0,64000.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,279.86,0,26.0,0,3.0,0,1.0,1.0
446,300.0,75009.0,69110.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,16.86,0,30.0,1,3.0,1,1.0,1.0
448,304.0,22300.0,24360.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,974.0,0,66.0,0,10.0,1,1.0,1.0
450,868.0,44100.0,85100.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1320.76,1,50.0,1,3.0,0,1.0,1.0
451,300.0,54000.0,99.0,16.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1001.25,0,49.0,0,3.0,1,1.0,2.0
452,868.0,82600.0,94320.0,16.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,380.0,0,29.0,1,2.0,0,-2.0,1.0
454,300.0,42400.0,3200.0,15.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,235.31,0,28.0,0,3.0,1,1.0,1.0
457,456.0,30000.0,26200.0,4.0,2.0,1.0,1.0,0.0,0.0,4.0,1.0,1450.0,1,25.0,0,1.0,1,1.0,1.0
458,1543.0,78250.0,78100.0,4.0,0.0,1.0,1.0,1.0,0.0,4.0,2.0,247.0,0,38.0,0,2.0,0,1.0,1.0
460,868.0,91000.0,99.0,10.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,2918.71,1,31.0,1,3.0,1,1.0,4.0
463,868.0,49124.0,49000.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,380.0,0,60.0,1,4.0,1,1.0,1.0
468,1840.0,92600.0,95230.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1272.31,1,21.0,0,1.0,0,1.0,1.0
470,868.0,92190.0,93290.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,364.92,0,31.0,1,3.0,1,1.0,1.0
471,300.0,92110.0,93800.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,877.99,0,32.0,0,0.0,1,1.0,1.0
473,1543.0,28000.0,57600.0,4.0,2.0,1.0,0.0,0.0,0.0,6.0,1.0,50.0,0,33.0,0,13.0,1,1.0,1.0
474,307.0,21160.0,54200.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,11344.51,1,31.0,0,3.0,1,1.0,1.0
475,868.0,59290.0,59000.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,225.0,0,26.0,1,3.0,1,1.0,1.0
476,1176.0,38000.0,38000.0,2.0,0.0,0.0,1.0,1.0,5.0,2.0,3.0,4280.0,1,53.0,0,0.0,1,1.0,1.0
480,300.0,59300.0,35000.0,2.0,2.0,1.0,1.0,0.0,0.0,6.0,1.0,10.0,0,29.0,0,3.0,1,1.0,1.0
482,1202.0,79250.0,49300.0,13.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,209.09,0,37.0,0,0.0,1,1.0,1.0
486,300.0,84800.0,99.0,3.0,5.0,1.0,1.0,0.0,0.0,5.0,0.0,3403.11,1,70.0,0,6.0,1,1.0,9.0
488,307.0,57050.0,57000.0,6.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,778.02,0,65.0,0,3.0,1,1.0,1.0
498,868.0,78290.0,80100.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,381.0,0,29.0,1,3.0,1,1.0,1.0
499,300.0,92110.0,99.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,-170.73,0,28.0,1,1.0,0,1.0,12.0
500,868.0,6600.0,44000.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,15.83,0,30.0,1,3.0,0,1.0,1.0
506,868.0,92400.0,99.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0,27.0,1,1.0,0,1.0,13.0
507,868.0,94000.0,99.0,2.0,0.0,0.0,1.0,1.0,0.0,6.0,2.0,93.31,0,28.0,1,3.0,-1,1.0,10.0
508,307.0,93190.0,97200.0,16.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,296.16,0,37.0,0,1.0,0,1.0,1.0
509,868.0,75016.0,99.0,2.0,0.0,0.0,1.0,1.0,5.0,2.0,5.0,3450.0,1,50.0,1,0.0,1,1.0,6.0
516,300.0,77500.0,93140.0,16.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,88.02,0,38.0,1,3.0,-1,1.0,1.0
517,868.0,76760.0,76200.0,4.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,2154.55,1,59.0,1,1.0,0,1.0,1.0
528,1543.0,38130.0,38400.0,4.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,0,26.0,0,13.0,0,1.0,1.0
529,300.0,74100.0,69560.0,13.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,410.0,0,36.0,0,3.0,1,5.0,1.0
531,868.0,78460.0,75014.0,12.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,360.0,0,18.0,1,6.0,-1,1.0,1.0
534,300.0,13127.0,38000.0,16.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1990.0,1,41.0,1,0.0,1,1.0,1.0
539,304.0,13860.0,83000.0,4.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,306.19,0,30.0,0,3.0,1,1.0,1.0
541,868.0,38100.0,73000.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,20.0,1,3.0,1,1.0,1.0
543,300.0,28500.0,80000.0,16.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,536.78,0,24.0,0,14.0,1,1.0,1.0
544,307.0,13006.0,74000.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,42.6,0,22.0,0,3.0,1,1.0,1.0
545,307.0,6110.0,63110.0,16.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,380.0,0,42.0,0,3.0,1,1.0,1.0
546,868.0,6240.0,6000.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,274.11,0,26.0,0,3.0,1,3.0,1.0
552,1543.0,25260.0,25000.0,15.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,723.29,0,33.0,0,3.0,1,1.0,1.0
554,304.0,22300.0,29600.0,2.0,0.0,0.0,0.0,1.0,2.0,6.0,3.0,300.0,0,41.0,0,4.0,1,1.0,1.0
555,1841.0,75017.0,92200.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,816.65,0,28.0,0,3.0,0,1.0,1.0
557,1543.0,6800.0,6000.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,283.13,0,36.0,0,16.0,1,1.0,1.0
558,1543.0,92290.0,64000.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,15.0,0,33.0,0,3.0,1,1.0,1.0
