,id_dim_personne,encours_parrain,id_parrain
238,5752592639,771.66,1389136990.0
239,5752673906,1402.32,2985740411.0
240,5670995376,312807.26,4345895353.0
241,5670188349,,
242,5670135246,,
243,5669820154,,
244,5669790707,44.63,5708545605.0
245,5666517751,,
246,5757569519,,
247,5666327950,868.01,5650743084.0
248,5663235940,,
249,5663191975,,
250,5663173302,62.52,6884524605.0
251,5663170353,423.71,5523651708.0
252,5663156263,,
253,5663148909,36237.26,2545197534.0
254,5663110645,4019.17,6312633937.0
255,5663109340,0.0,4005921147.0
256,5758726798,14.4,4572164792.0
257,5762024685,,
258,5663080446,,
259,5662913964,,
260,5662760343,,
261,5659596179,,
262,5659582523,,
263,5659054138,,
264,5658950698,,
265,5658881398,,
266,5658873384,,
267,5658850555,,
268,5657507369,,
269,5657467172,437021.29,1619377338.0
270,5654500751,225.74,6720237906.0
271,5654497866,,
272,5654426749,1415.38,5654424692.0
273,5654422904,,
274,5654084546,,
275,5654010542,,
276,5653941462,7.43,5659571331.0
277,5650827533,,
278,5650826440,676.79,6030536145.0
279,5650754246,,
280,5779533822,231.49,5779533751.0
281,5650701664,4230.51,130398.0
282,5650700472,,
283,5650664899,,
284,5780557884,,
285,5650643952,,
286,5650643932,,
287,5649820471,,
288,5649819023,,
289,5649771605,,
290,5649771235,157.28,3560263218.0
291,5649758336,,
292,5780765262,,
293,5649746080,,
294,5781813478,,
295,5781815236,,
296,5649714315,,
297,5649694346,,
298,5648800667,,
299,5648799526,767.42,2421935680.0
300,5648798220,12353.78,4878513476.0
301,5648794858,283.07,5346242711.0
302,5648778435,,
303,5648776005,139.93,5913001172.0
304,5648774827,,
305,5648751129,6274.3,5648676100.0
306,5648689948,128.28,5893238216.0
307,5647298053,,
308,5644428535,54195.63,3468106902.0
309,5644288294,15005.35,3824554489.0
310,5644257053,11029.54,5046896135.0
311,5644250671,,
312,5640746946,,
313,5636462995,113.3,6716419638.0
314,5633164144,,
315,5794786020,823.45,6304645011.0
316,5633162683,14.89,3686619839.0
317,5632151230,,
318,5625967815,1391.27,5310237772.0
319,5625842901,,
320,5625811903,430.0,4526358504.0
321,5625806839,,
322,5624898801,,
323,5624853908,,
324,5624784614,,
325,5616197003,10.88,2084400933.0
326,5616100114,1656.54,2386386024.0
327,5611975279,,
328,5611974320,,
329,5611950560,,
330,5610823235,2192.19,253741.0
331,5607660076,10087.36,403840386.0
332,5607609146,,
333,5607314464,,
334,5604124711,849.2,6580564217.0
335,5808840696,326.06,4149961437.0
336,5595919333,,
337,5595860685,20.0,5922600877.0
338,5591705609,,
339,5587125570,5.0,5547192227.0
340,5586935475,2500.0,5403290040.0
341,5582832107,164337.14,3851457889.0
342,5574823398,4672.79,1423752224.0
343,5574554019,188.46,5412530672.0
344,5574524761,1297.68,1707748715.0
345,5571215815,,
346,5816869801,32.17,6682537518.0
347,5571185170,,
348,5571177323,,
349,5570134241,,
350,5569964429,15969.35,5011879309.0
351,5569006417,6710.2,6124837156.0
352,5568909929,,
353,5820756257,,
354,5820765203,,
355,5568903221,,
356,5568786087,,
357,5824541926,1373.74,5744525674.0
358,5564720031,,
359,5564442339,275.3,6093405541.0
360,5564409606,2453.39,3171365943.0
361,5564330615,,
362,5556982344,221.24,5368317596.0
363,5556979487,37.46,6346387466.0
364,5826891143,329.59,744164818.0
365,5556825936,,
366,5556754446,10628.59,5556762124.0
367,5554814608,,
368,5552858794,,
369,5549360732,205.15,6546601640.0
370,5549277492,,
371,5549272869,982.92,4139886500.0
372,5549197261,,
373,5549196468,,
374,5547238931,,
375,5543786293,,
376,5543704845,120.05,4852613381.0
377,5543663173,45.0,4053323613.0
378,5543582642,765.28,5318886055.0
379,5543474858,5334.43,4678458872.0
380,5842934722,,
381,5540360527,40.0,5785501212.0
382,5533404744,20.0,5540478515.0
383,5528865713,,
384,5527795850,,
385,5526866290,,
386,5526621305,,
387,5846886664,106553.96,1610919697.0
388,5517089836,,
389,5517056647,458.29,5284900567.0
390,5517054248,16661.45,718356031.0
391,5516849546,,
392,5515926588,,
393,5513017147,32142.57,569085763.0
394,5512966228,30.01,6121164765.0
395,5512783920,,
396,5509678982,201.74,1548469427.0
397,5509609896,581.48,4923711917.0
398,5508614312,46.19,5371539284.0
399,5507418969,,
400,5504359131,10070.73,1166703749.0
401,5504278536,,
402,5504086478,,
403,5501225114,,
404,5501117289,881.37,4823928510.0
405,5501035446,0.99,5346533499.0
406,5862486208,13.92,5326855759.0
407,5500979222,,
408,5500963975,1792.16,3224262663.0
409,5497552265,,
410,5497513332,406.99,4562702461.0
411,5493255909,,
412,5492985182,5909.5,1473585360.0
413,5487831277,809.03,2389850279.0
414,5487819365,877.14,2708945454.0
415,5487769136,80.0,4511144698.0
416,5483987920,428.23,4789964847.0
417,5483831283,838.48,3438625572.0
418,5872212275,,
419,5872226794,370.78,5733813197.0
420,5872227421,272668.41,4631875912.0
421,5483703903,,
422,5480184299,3083.19,3479206034.0
423,5873397723,97514.69,1876502439.0
424,5476755208,220.86,6549174584.0
425,5476016223,,
426,5471996786,7898.88,5192744921.0
427,5471929264,11089.73,513022754.0
428,5471625186,7316.27,5694211022.0
429,5471556347,,
430,5462887938,,
431,5459512621,412.57,5552797348.0
432,5452091745,,
433,5452065088,150.0,4867707064.0
434,5451963624,626.05,3787713184.0
435,5451942404,421.44,5026574743.0
436,5446711597,8.54,4515064607.0
437,5881500055,,
438,5446592925,,
439,5440498953,,
440,5433155173,,
441,5429883891,180.01,6445775982.0
442,5429815643,91.0,5367273273.0
443,5428883873,2.1,5391954461.0
444,5420945344,,
445,5885262258,307.42,5671215489.0
446,5417487480,,
447,5412645639,15.24,6012647656.0
448,5408501761,,
449,5408433707,,
450,5396121579,,
451,5889255021,,
452,5391899302,1235.23,2864190885.0
453,5391895588,5275.18,3023987267.0
454,5387714875,,
455,5386181687,,
456,5889534396,,
457,5889534774,92236.93,2381507348.0
458,5382764353,,
459,5378948303,40.0,2620825839.0
460,5378913072,,
461,5378688317,150.0,3277880645.0
462,5375377743,,
463,5892998805,,
464,5371399159,8346.82,3636009264.0
465,5368215932,0.0,2290056116.0
466,5362719289,,
467,5894677777,,
468,5362686587,,
469,5362622222,,
470,5355751358,8645.89,5171496043.0
471,5343151396,,
472,5339581985,5576.7,4625253834.0
473,5331975223,106.3,2413398854.0
